D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_44_776.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_44_776.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_44_776.jpg, 0, 0, 0, 7.875702E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_44_879.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_44_879.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_44_879.jpg, 0, 0, 0, 7.925284E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_44_983.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_44_983.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_44_983.jpg, 0, 0, 0, 7.821096E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_085.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_085.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_085.jpg, 0, 0, 0, 7.806162E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_191.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_191.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_191.jpg, 0, 0, 0, 7.796582E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_291.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_291.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_291.jpg, 0, 0, 0, 7.851506E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_392.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_392.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_392.jpg, 0, 0, 0, 7.861413E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_494.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_494.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_494.jpg, 0, 0, 0, 7.798052E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_594.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_594.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_594.jpg, 0, 0, 0, 7.935333E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_699.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_699.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_699.jpg, 0, 0, 0, 7.870042E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_801.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_801.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_801.jpg, 0, 0, 0, 7.98447E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_45_900.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_45_900.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_45_900.jpg, 0, 0, 0, 7.794944E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_46_006.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_46_006.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_46_006.jpg, 0, 0, 0, 7.809467E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_46_109.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_46_109.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_46_109.jpg, 0, 0, 0, 7.822486E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_46_209.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_46_209.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_46_209.jpg, 0, 0, 0, 7.782077E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_46_311.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_46_311.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_46_311.jpg, 0, 0, 0, 8.266232E-05
D:\Behaviroul Cloning\Data\IMG\center_2021_03_17_19_43_46_418.jpg, D:\Behaviroul Cloning\Data\IMG\left_2021_03_17_19_43_46_418.jpg, D:\Behaviroul Cloning\Data\IMG\right_2021_03_17_19_43_46_418.jpg, 0, 0, 0, 7.963547E-05
